,file,p1_x,p1_y,p2_x,p2_y,c_x,c_y,p1_x_unc,p1_y_unc,p2_x_unc,p2_y_unc,c_x_unc,c_y_unc,cyc_freq_guess,red_cyc_freq,mag_freq,cyc_acc_time,n_acc,time_start,time_end,p1p2_angle,p1p2_angle_unc,cyc_freq,cyc_freq_unc,time
0,data/ioi_ground/85Rb_002,158.08433706099092,70.59260211385515,149.03876400985018,62.21837962147955,1.3440144773863427,-37.42057580404648,2.3486947597235517,2.213233822742484,2.6589127803959727,2.450161407192808,2.0112857617921507,1.7538700084436811,1072460.1,1071374.72,1085.6,1025679.184,1100000.0,2017-07-19 13:15:43,2017-07-19 13:21:33,0.009894015987438444,0.02719958082778672,1072460.101300722,0.004220567021636858,2017-07-19 13:18:38.000
1,data/ioi_ground/85Rb_004,160.12217767579418,66.38460906836022,153.25002361568463,61.530227925684436,1.3440144773863427,-37.42057580404648,2.021022376221365,2.410731807180957,2.499243363078929,2.5049666540039044,2.0112857617921507,1.7538700084436811,1072460.1,1071374.72,1085.6,1025679.184,1100000.0,2017-07-19 13:27:28,2017-07-19 13:33:18,0.0016691723442083806,0.027007910859852945,1072460.10002447,0.004190825535883038,2017-07-19 13:30:23.000
2,data/ioi_ground/85Rb_006,160.3595744175009,65.35744685901983,153.03774111110096,59.95659239909898,1.3440144773863427,-37.42057580404648,2.331465745667975,2.0981590349861583,2.346745758442542,2.58553596311065,2.0112857617921507,1.7538700084436811,1072460.1,1071374.72,1085.6,1025679.184,1100000.0,2017-07-19 13:39:14,2017-07-19 13:45:03,0.003114454374794073,0.02684219300202868,1072460.100248735,0.004165111046749629,2017-07-19 13:42:08.500
3,data/ref/133Cs_003,153.99268660057908,33.5088262958254,115.82872739611985,74.93209884176964,-10.2012593261115,-41.65260351891671,1.6038685703339841,1.7550728669890276,1.936058140300768,1.7421076277999383,1.6803824117687678,1.6534162150461131,685181.09,684096.06,1085.6,1021627.728,700000.0,2017-07-19 13:21:36,2017-07-19 13:27:25,-0.3171981799991716,0.023527742349043927,685181.0403450029,0.00366528471381002,2017-07-19 13:24:30.500
4,data/ref/133Cs_005,149.51980866391364,35.91008955527293,113.43402440846464,68.82112654151805,-10.2012593261115,-41.65260351891671,1.5975106197929658,1.7801442583325664,1.6953952690531378,1.7672178493134931,1.6803824117687678,1.6534162150461131,685181.09,684096.06,1085.6,1021627.728,700000.0,2017-07-19 13:33:21,2017-07-19 13:39:10,-0.2771652751267289,0.02397789144502367,685181.0465815553,0.0037354114848343134,2017-07-19 13:36:15.500
5,data/ref/133Cs_007,149.34440420887685,33.57404507173214,115.94491524318268,67.55791345131932,-10.2012593261115,-41.65260351891671,1.5535307160734757,1.7626836384247124,1.6236417331157948,1.6433465871447166,1.6803824117687678,1.6534162150461131,685181.09,684096.06,1085.6,1021627.728,700000.0,2017-07-19 13:45:06,2017-07-19 13:50:56,-0.2729713341840762,0.023672571543401848,685181.047234911,0.003687847024477924,2017-07-19 13:48:01.000
